ÝL ADI,ÝLÇE ADI,"DESTEK BÝRÝMÝNE NASIL 
ULAÞILABÝLÝR?
TELEFON NUMARASI 
","BÝLGÝLERÝN GERÇEKLÝÐÝ TELEFONLA
TEYÝT EDÝLDÝ MÝ?",HANGÝ ALANLARDA DESTEK SAÐLIYORLAR 
Adana,Feke,0322 7412127,Evet,Herhangi bir þey yapýlmýyor.
Adana,Karaisalý,0322 5513280,Evet,Herhangi bir þey yapýlmýyor.
Adana,Karataþ,0322 681 30 45,Evet,"Maske üretiyorlar. 
65 yaþ+, kronik hastalar, engellilere gýda paketi veriliyor. 
65+ için alýþveriþ desteði saðlanýyor. "
Adýyaman,Besni,0 416 318 10 09,Evet,"VEFA kapsamýnda 65 yaþ üstü gýda alýþ veriþi, maaþ çekme, lojistik destek gibi ev dýþýndaki iþlerinin 
halledilmesi. 1 Nisan haftasýnda madi destek gibi diðer destekler için de çalýþma 
baþlatýlacak. "
Adýyaman,Çelikhan,0 (416) 451 2011,Evet,"VEFA kapsamýnda 65 yaþ üstü gýda alýþ veriþi, maaþ çekme, lojistik destek gibi ev 
dýþýndaki iþlerinin halledilmesi. Ayýca gýda desteði ve maddi destek gibi konularda 
ihtiyacý olanlara daha önce destek olunduðu gibi destek olunuyor. "
Adýyaman,Gölbaþý / Adýyaman,0416 781 6100,Evet,"VEFA kapsamýnda 65 yaþ üstü gýda alýþ veriþi, maaþ çekme, lojistik destek gibi ev 
dýþýndaki iþlerinin halledilmesi. "
Adýyaman,Kahta,"(0416) 725 51 00
(0532) 205 92 36",Evet,"Belediye çözüm merkezi aracýlýðýyla gelen talepleri yerinde deðerlendiriliyor. 
Gýda yardýmý yapýlýyor. 1 Nisandan sonra 1000 koli gýda yadýmý, 250 kiþiye nakdi 
yardým yapýlacak. 

VEFA kapsamýnda gelen talepleri zabýtalar karþýlýyor. 65 yaþ üstü gýda alýþ veriþi, 
maaþ çekme, lojistik destek gibi ev dýþýndaki iþlerinin halledilmesi. 
"
Adýyaman,Sincik,0(416) 421 20 08,evet,Baþvuru olduðunda deðerlendirileceði bildirildi.
Adýyaman,Samsat,0 416 411 20 25,Evet,"Tüm yaþlar için ulaþým ihtiyacýnýn karþýlanmasý. 65 yaþ üstü gýda maddesi temini, lojistik destek. "
Aðrý,Ýl belediyesi,0472 215 11 90,Evet,VEFA çalýþmasý dýþýnda çalýþma yapýlmýyor. 
Ankara,Keçiören,0312 485 55 55,Evet ,"60 yaþ üzeri gýda, ilaç teslimat.
Elektrik, sýhhi arýza teknik ekip desteði. "
Ankara,Mamak,444 0 149,Evet,"Evlere gýda ve yemek teslimatý. 
Araba dezenfeksiyon hizmeti. "
Ankara,Akyurt,0312 844 1 844 ,Evet,VEFA kapsamýnda çalýþmalar yapýyorlar.
Ankara,Etimesgut,444 9 244,Evet,"3 öðün evlere yemek servisi. 
Etiata baþlýklý proje altýnda belediye bünyesince hizmet talebi karþýlama. "
Ankara,Evren,0 312 893 50 01,Evet ,VEFA kapsamýnda çalýþmalar yapýyorlar.
Ankara,Büyükþehir belediyesi,0 312) 507 10 00,Evet,"Nakit baðýþ 
Yardým kolisi baðýþý
65+ yaþa hizmet veren marketler
Ýhtiyaç sahiplerinin taleplerinin karþýlanmasý"
Ankara,Ayaþ,(0312) 712 2600,Evet,"Vefa kapsamýnda 65 yaþ üstüne yönelik destek çalýþmalarý. 
Sokak hayvanlarýnýn beslenmesi yapýlýyor. 
Yaþlý çiftçilerin yardým ihtiyaçlarýnýn karþýlanmasý.
Ýhtiyaç sahiplerine gýda yardýmý, hijyenik malzeme yardýmý. 
"
Ankara,Bala,444 2 252,Evet,"Vefa çalýþmasý kapsamýnda 65 yaþ üstüne yönelik destek çalýþmalarý. 
Talep eden vatandaþlara maske daðýtýyorlar. 
"
Balýkesir,Ayvalýk,0266) 312 10 21,Evet,"Polis ekibi içerisinde bir yardým ekibi kurulmuþ 65 yaþ üstü ve dýþarý çýkamayacak durumdaki kiþilere
maaþ çekimi, market alýþveriþi, saðlýk hizmetleri, sýcak yemek gibi hizmetler saðlanýyor. 
Sýcak yemek servisi, ihtiyacý olan herkese verilmeye çalýþýlýyor."
Balýkesir,Ýl belediyesi,444 40 10 - 153,Evet,"65 yaþ üstü, kronik rahatsýzlýðý olan evden çýkamayacak durumdaki kiþilere gýda, ilaç alýþveriþi, 
saðlýk hizmeti ulaþýmý gibi yardýmlar yapýlýyor. Sýcak yemek, yakacak ya da gýda yardýmý ise TC kimlik
numarasý üzerinden araþtýrma yapýldýktan sonra ihtiyaç sahiplerine saðlanýyor."
Balýkesir,Balya,"T: +90 (266) 486 10 01
T: +90 (266) 486 11 64
F: +90 (266) 486 10 16",Evet,"65 yaþ üstü ve ihtiyaç sahiplerine gýda, ilaç alýþveriþi, 
saðlýk hizmeti ulaþýmý gibi yardýmlar yapýlýyor. 
Eðer maddi durumlarý yeterli deðilse alýþveriþ ücretleri de karþýlanmaya çalýþýlýyor. "
